Index,Channel,Time,Show,Genre
0,Star Plus HD,00:00,Devon Ke Dev Mahadev,"Indian,Hindi,television series,darama"
1,Star Plus HD,00:45,Savdhaan India : India Fights Back,"indian,hindi,crime"
2,Star Plus HD,01:30,Savdhaan India : India Fights Back,"indian,hindi,crime"
3,Star Plus HD,02:15,Savdhaan India : India Fights Back,"indian,hindi,crime"
4,Star Plus HD,03:00,Savdhaan India : India Fights Back,"indian,hindi,crime"
5,Star Plus HD,08:00,Mahabharat,"Indian,Hindi,television series,darama"
6,Star Plus HD,09:00,Savdhaan India : India Fights Back,"indian,hindi,crime"
7,Star Plus HD,10:00,Tu Mera Hero ,"indian,hindi,soap,opera,drama"
8,Star Plus HD,11:00,Pyar Ka Dard Hai Meetha Meetha Pyara Pya,"indian,hindi,soap,opera,drama"
9,Star Plus HD,12:00,RadhaKrishn,"Indian,Hindi,television series,darama"
10,zoom,12:00,Mirchi top 20,"Music,Songs,entertainment"
11,zoom,13:00,Planet Bollywood,"Music,Songs,entertainment"
12,zoom,14:00,Telly Top Up,"Music,Songs,entertainment"
13,zoom,15:00,Request Kiya Hai,"Music,Songs,entertainment"
14,zoom,16:00,Music Takatak,"Music,Songs,entertainment"
15,zoom,17:00,Loudspeaker,"Music,Songs,entertainment"
16,zoom,18:00,Shandaarhits,"Music,Songs,entertainment"
17,zoom,19:00,loudspeaker,"Music,Songs,entertainment"
18,zoom,20:00,Mann Ki Dhun,"Music,Songs,entertainment"
19,ZEE NEWS,08:00,weather update,"hindi,news,weather,daily"
20,ZEE NEWS,08:30,Top100,"hindi,news,morning update ,current updates"
21,ZEE NEWS,09:00,general news,"hindi , news, general news"
22,ZEE NEWS,09:30,breaking news,"hindi ,news,curious,important update"
23,ZEE NEWS,10:00,entertainment news,"hindi,news,entertainment"
24,ZEE NEWS,10:30,general debate,"hindi,debate,news,debate"
25,ZEE NEWS,11:00,special program,"hindi,news,special"
26,ZEE NEWS,11:30,top 50,"hindi,news,morning update ,current updates"
27,ZEE NEWS,12:00,Sports news,"hindi,news,stock,economy,market updates"
28,ZEE NEWS,12:30,market updates,"hindi,news,sports,sports updates"
29,UTV Action,08:30,The Hitman's Bodyguard,"hindi,movie, American,action,comedy"
30,UTV Action,10:35 AM,Kung Fu Killer,"hindi,movie,Chinese,action,thriller"
31,UTV Action,12:30 PM,League of Gods,"hindi,movie,Hong Kong-Chinese,fantasy"
32,UTV Action,2:30 PM,Unstoppable,"hindi,movie, American,action,thriller,real-life CSX 8888 incident"
33,UTV Action,4:20 PM,Supreme Khiladi 2,"hindi,movie,south"
34,UTV Action,7:00 PM,The Adventurers,"hindi,movie,Hong Kong,action"
35,UTV Action,9:00 PM,Twilight,"hindi,movie, American,romantic,fantasy"
36,UTV Action,11:10,Percy Jackson: Sea Of Monsters,"hindi,movie, American,fantasy,adventure "
37,Hungama,07:00,Perman,"hindi,kids,Japanese,manga series"
